"Seq.
No.";Lot;Coil Number;Mother Coil;Grade;Finish;Thickness;Width;Material Processed;PRIME (SLT);KW2;BabyCoil;Scrap;SS;Weighing Balance;Coil Individual Yield;;"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";"TOTAL
PRIME";;;;;
89;421;LTI-GI306120A1;LTI-GI306120;304L;2B;0,30;761;4.640;4.345;295;0;0;0;0;;;;;;;;;;;;;;;;;;
90;421;LTI-GI306113A;LTI-GI306113;304L;2B;0,60;770;10.545;10.145;0;175;40;145;40;;;;;;;;;;;;;;;;;;
92;421;LTI-GI306098A+B;LTI-GI306098;304L;2B;0,40;765;11.850;11.755;0;75;0;0;20;;;;;;;;;;;;;;;;;;
94;421;LTI-GI306134B;LTI-GI306134;304L;2B;0,50;762;4.745;4.485;0;255;0;0;5;;;;;;;;;;;;;;;;;;
95;380;EM204276A1-5+B1-5;EM204276;J3;2B;0,92;595;8.180;7.925;0;55;20;205;-25;;;;;;;;;;;;;;;;;;
96;380;EM204279A1-5+B1-5;EM204279;J3;2B;0,92;595;8.050;7.735;0;45;10;275;-15;;;;;;;;;;;;;;;;;;
97;386;HK204369A1-6+B1-6;HK204369;J3;2B;0,92;595;8.180;7.985;0;40;0;155;0;;;;;;;;;;;;;;;;;;
98;386;HK204372A1-6+B1-6;HK204372;J3;2B;0,92;595;8.170;7.980;0;60;0;0;130;;;;;;;;;;;;;;;;;;
99;419;TI-GI305935B2;TI-GI305935;304;2B;0,30;761;6.110;3.875;2175;0;0;0;60;;;;;;;;;;;;;;;;;;
100;421;LTI-GI306112B2;LTI-GI306112;304L;2B;0,30;765;10.525;9.020;1205;100;0;98;102;;;;;;;;;;;;;;;;;;
101;397;HK204629A1-5+B1-5;HK204629;J3;2B;0,92;595;8.005;7.860;0;0;30;135;-20;;;;;;;;;;;;;;;;;;
103;406;EM204728A1-5+B1-5;EM204728;J3;2B;0,73;620;9.920;9.670;0;40;0;210;0;;;;;;;;;;;;;;;;;;
104;395;HK204589A1-7+B1-7;HK204589;J3;2B;0,92;620;9.940;9.620;0;0;40;220;60;;;;;;;;;;;;;;;;;;
105;394;EM204539A1-5+B1-5;EM204539;J3;2B;0,92;595;8.140;7.980;0;25;0;0;135;;;;;;;;;;;;;;;;;;
106;422;LTI-GI306377A1-9+B1-9+C1-9;LTI-GI306377;304L;2B;1,15;768;12.195;11.905;0;80;10;195;5;;;;;;;;;;;;;;;;;;
107;424;TI-GI306603A1-7+B1-7+C1-7;TI-GI306603;304;2B;1,16;770;10.555;10.270;0;0;45;175;65;;;;;;;;;;;;;;;;;;
108;422;LTI-GI306514A1-6+B1-6+C1-6;LTI-GI306514;304L;2B;1,16;768;11.690;11.385;0;65;0;235;5;;;;;;;;;;;;;;;;;;
109;422;TI-GI306347;TI-GI306347;304;2B;1,20;772;10.455;10.415;0;0;4;0;37;;;;;;;;;;;;;;;;;;
110;421;LTI-GI306115;LTI-GI306115;304L;2B;1,20;770;10.365;10.325;0;0;7;0;33;;;;;;;;;;;;;;;;;;
111;422;TI-GI306455;TI-GI306455;304;2B;1,50;773;10.470;10.445;0;0;0;0;25;;;;;;;;;;;;;;;;;;
112;421;TI-GI306299;TI-GI306299;304;2B;1,20;770;10.385;10.360;0;0;0;0;25;;;;;;;;;;;;;;;;;;
113;422;TI-GI306422;TI-GI306422;304;2B;1,50;770;10.440;10.425;0;0;0;0;15;;;;;;;;;;;;;;;;;;
114;422;LTI-GI306515A+B+C;LTI-GI306515;304L;2B;1,20;767;11.670;11.605;0;0;7;0;58;;;;;;;;;;;;;;;;;;
