id,lokasi_akses,jumlah_pengguna,satuan,tahun
255,KADEMANGAN,6,USER,2022
256,KENDAL,6,USER,2022
257,KOTO CITY,6,USER,2022
258,NAGOYA,6,USER,2022
259,PAREPARE,6,USER,2022
260,SECAUCUS,6,USER,2022
261,SRAGEN,6,USER,2022
262,TASHKENT,6,USER,2022
263,BLORA,5,USER,2022
264,BOSTON,5,USER,2022
265,BUSAN,5,USER,2022
266,CHICAGO,5,USER,2022
267,HELSINKI,5,USER,2022
268,ITAMI,5,USER,2022
269,KALIWUNGU,5,USER,2022
270,KEMBANG,5,USER,2022
271,KLANGENAN,5,USER,2022
272,KLAPANUNGGAL,5,USER,2022
273,LAMONGAN,5,USER,2022
274,MINATO CITY,5,USER,2022
275,MUNGKID,5,USER,2022
276,NASHVILLE,5,USER,2022
277,PARUNG,5,USER,2022
278,PHNOM PENH,5,USER,2022
279,SAPPORO,5,USER,2022
280,SUNGAI PENUH,5,USER,2022
281,VILNIUS,5,USER,2022
282,AUCKLAND,4,USER,2022
283,BATU,4,USER,2022
284,BOJONEGORO,4,USER,2022
285,BONDOWOSO,4,USER,2022
286,BRATI,4,USER,2022
287,BUTTERWORTH,4,USER,2022
288,CORK,4,USER,2022
289,DOHA,4,USER,2022
290,DUBLIN,4,USER,2022
291,HO CHI MINH CITY,4,USER,2022
292,HYDERABAD,4,USER,2022
293,KAJEN,4,USER,2022
294,KARACHI,4,USER,2022
295,KARANG TANJUNG,4,USER,2022
296,KEMANG,4,USER,2022
297,LEUWISADENG,4,USER,2022
298,NGAWI,4,USER,2022
299,PAGAR ALAM,4,USER,2022
300,PATNA,4,USER,2022
301,PEJAGOAN,4,USER,2022
302,SANTA CLARA,4,USER,2022
303,SEATTLE,4,USER,2022
304,SECANG,4,USER,2022
305,SEMANU,4,USER,2022
306,SHINAGAWA CITY,4,USER,2022
307,SHINJUKU CITY,4,USER,2022
308,TORONTO,4,USER,2022
309,VIENNA,4,USER,2022
310,WONOGIRI,4,USER,2022
311,ALTOONA,3,USER,2022
312,BANGKOK,3,USER,2022
313,BERGAS,3,USER,2022
314,BERLIN,3,USER,2022
315,BIMA,3,USER,2022
316,BRISBANE,3,USER,2022
317,BUKIT MERTAJAM,3,USER,2022
318,CEBU CITY,3,USER,2022
319,CIJERUK,3,USER,2022
320,COLOMBO,3,USER,2022
321,COLUMBUS,3,USER,2022
322,COVENTRY,3,USER,2022
323,DAKAR,3,USER,2022
324,FREMONT,3,USER,2022
325,HANOI,3,USER,2022
326,HIALEAH GARDENS,3,USER,2022
327,HOUTEN,3,USER,2022
328,INDIANAPOLIS,3,USER,2022
329,KEBOMAS,3,USER,2022
330,KEBUMEN,3,USER,2022
331,LUBUKLINGGAU,3,USER,2022
332,MAKATI,3,USER,2022
333,MANAMA,3,USER,2022
334,MOJOSARI,3,USER,2022
335,NORTH BERGEN,3,USER,2022
336,OPAVA,3,USER,2022
337,PARANAQUE,3,USER,2022
338,PURBALINGGA,3,USER,2022
339,SEREMBAN,3,USER,2022
340,SHAH ALAM,3,USER,2022
341,SHANGHAI,3,USER,2022
342,SLAWI,3,USER,2022
343,SUKOHARJO,3,USER,2022
344,TAITO CITY,3,USER,2022
345,TEMBILAHAN,3,USER,2022
346,TRUCUK,3,USER,2022
347,WASHINGTON,3,USER,2022
348,WONOSARI,3,USER,2022
349,AACHEN,2,USER,2022
350,ADELAIDE,2,USER,2022
351,ADIWERNA,2,USER,2022
352,AL KHOBAR,2,USER,2022
353,AMAGASAKI,2,USER,2022
354,ANTIPOLO,2,USER,2022
355,ATLANTA,2,USER,2022
356,BAWEN,2,USER,2022
357,BEIJING,2,USER,2022
358,BIREUEN,2,USER,2022
359,BITUNG,2,USER,2022
360,BOARDMAN,2,USER,2022
361,BOYDTON,2,USER,2022
362,BRATISLAVA,2,USER,2022
363,BUCHAREST,2,USER,2022
364,BUNKYO CITY,2,USER,2022
365,BURSA,2,USER,2022
366,CHEYENNE,2,USER,2022
367,CIMAUNG,2,USER,2022
368,DAVAO CITY,2,USER,2022
369,DELHI,2,USER,2022
370,EAST KISARAN,2,USER,2022
371,EDOGAWA CITY,2,USER,2022
372,ENA,2,USER,2022
373,FUKUYAMA,2,USER,2022
374,GUWAHATI,2,USER,2022
375,HAMAMATSU,2,USER,2022
376,HAMBURG,2,USER,2022
377,HOF,2,USER,2022
378,HOUSTON,2,USER,2022
379,IMUS,2,USER,2022
380,IPOH,2,USER,2022
381,ISLAMABAD,2,USER,2022
382,JASINGA,2,USER,2022
383,KAJANG,2,USER,2022
384,KALINYAMATAN,2,USER,2022
385,KALIPURO,2,USER,2022
386,KARLSRUHE,2,USER,2022
387,KAWASAKI,2,USER,2022
388,KOLKATA,2,USER,2022
389,KOTAMOBAGU,2,USER,2022
390,KRETEK,2,USER,2022
391,LAHAT,2,USER,2022
392,MANILA,2,USER,2022
393,MARSEILLE,2,USER,2022
394,MEDINA,2,USER,2022
395,MENALDUM,2,USER,2022
396,MENLO PARK,2,USER,2022
397,MERAUKE,2,USER,2022
398,MORIYAMA,2,USER,2022
399,MOSCOW,2,USER,2022
400,MUMBAI,2,USER,2022
401,MUNTILAN,2,USER,2022
402,NAGASAKI,2,USER,2022
403,NAMYANGJU-SI,2,USER,2022
404,NARITA,2,USER,2022
405,NORRKOPING,2,USER,2022
406,NOVI SAD,2,USER,2022
407,NYERI,2,USER,2022
408,OSTRAVA,2,USER,2022
409,OTA CITY,2,USER,2022
410,OXFORD,2,USER,2022
411,PALMA,2,USER,2022
412,PALOPO,2,USER,2022
413,PANDEGLANG,2,USER,2022
414,PECANGAAN,2,USER,2022
415,PHOENIX,2,USER,2022
416,PIURA,2,USER,2022
417,POTSDAM,2,USER,2022
418,PRAGUE,2,USER,2022
419,PRINEVILLE,2,USER,2022
420,QUEZON CITY,2,USER,2022
421,QUINCY,2,USER,2022
422,RUMPIN,2,USER,2022
423,SAN ANTONIO,2,USER,2022
424,SAN DIEGO,2,USER,2022
425,SANKT INGBERT,2,USER,2022
426,SANTIAGO,2,USER,2022
427,SETAGAYA CITY,2,USER,2022
428,SEWON,2,USER,2022
429,SITUBONDO,2,USER,2022
430,SOEST,2,USER,2022
431,SOFIA,2,USER,2022
432,SUMIDA CITY,2,USER,2022
433,SUNGAI PETANI,2,USER,2022
434,TABANAN,2,USER,2022
435,TACHIKAWA,2,USER,2022
436,TAKAMATSU,2,USER,2022
437,TAOYUAN DISTRICT,2,USER,2022
438,TIKUNG,2,USER,2022
439,TOWN AND COUNTRY,2,USER,2022
440,ABIANSEMAL,1,USER,2022
441,ABUJA,1,USER,2022
442,ADACHI CITY,1,USER,2022
443,ADDIS ABABA,1,USER,2022
444,AKITA,1,USER,2022
445,ALBUQUERQUE,1,USER,2022
446,ALISO VIEJO,1,USER,2022
447,AMBARAWA,1,USER,2022
448,AMLAPURA,1,USER,2022
449,AMPANG JAYA,1,USER,2022
450,ANANTAPUR,1,USER,2022
451,ANGELES,1,USER,2022
452,ANSAN-SI,1,USER,2022
453,ANTALYA,1,USER,2022
454,ASBESTOS,1,USER,2022
455,AUSTIN,1,USER,2022
456,BAKU,1,USER,2022
457,BALLERUP,1,USER,2022
458,BAMBANG LIPURO,1,USER,2022
459,BANDIRMA,1,USER,2022
460,BATU PAHAT,1,USER,2022
461,BAU-BAU,1,USER,2022
462,BELAGAVI,1,USER,2022
463,BELGRADE,1,USER,2022
464,BHUBANESWAR,1,USER,2022
465,BIRMINGHAM,1,USER,2022
466,BLUMENAU,1,USER,2022
467,BOCHUM,1,USER,2022
468,BOM DESPACHO,1,USER,2022
469,BROOKFIELD,1,USER,2022
470,BUENOS AIRES,1,USER,2022
471,BUNSCHOTEN-SPAKENBURG,1,USER,2022
472,BUTZBACH,1,USER,2022
473,CAGAYAN DE ORO,1,USER,2022
474,CALAMBA,1,USER,2022
475,CAMBRIDGE,1,USER,2022
476,CANBERRA,1,USER,2022
477,CAPE TOWN,1,USER,2022
478,CENTRAL COAST,1,USER,2022
479,CHANGHUA CITY,1,USER,2022
480,CHIAUTEMPAN,1,USER,2022
481,CHICLANA DE LA FRONTERA,1,USER,2022
482,CHIETI,1,USER,2022
483,CLERMONT-FERRAND,1,USER,2022
484,COLORADO SPRINGS,1,USER,2022
485,COLUMBIA,1,USER,2022
486,CURICO,1,USER,2022
487,DA NANG,1,USER,2022
488,DAEGU,1,USER,2022
489,DAR ES SALAAM,1,USER,2022
490,DAVENTRY,1,USER,2022
491,DELFT,1,USER,2022
492,DES MOINES,1,USER,2022
493,DORAL,1,USER,2022
494,DOULIU CITY,1,USER,2022
495,DUBENDORF,1,USER,2022
496,DUMAGUETE,1,USER,2022
497,ECATEPEC,1,USER,2022
498,EDINBURGH,1,USER,2022
499,EDMONTON,1,USER,2022
500,EERSEL,1,USER,2022
501,ENSCHEDE,1,USER,2022
502,EPSOM,1,USER,2022
503,FALL RIVER,1,USER,2022
504,FARMINGTON HILLS,1,USER,2022
505,FUJI,1,USER,2022
506,FUKAYA,1,USER,2022
507,GLASGOW,1,USER,2022
508,GOTHENBURG,1,USER,2022
509,GROTON,1,USER,2022
510,GUNUNGSITOLI,1,USER,2022
511,GURGAON,1,USER,2022
512,GWANGJU,1,USER,2022
513,GYEONGJU-SI,1,USER,2022
514,GYEONGSAN-SI,1,USER,2022
515,GYUMRI,1,USER,2022
516,HACHIOJI,1,USER,2022
517,HAMADA,1,USER,2022
518,HASHIMOTO,1,USER,2022
519,HIGASHIHIROSHIMA,1,USER,2022
520,HIGASHIMURAYAMA,1,USER,2022
521,HOOGVLIET ROTTERDAM,1,USER,2022
522,HUARAZ,1,USER,2022
523,HUBLI,1,USER,2022
524,HUNTINGTON BEACH,1,USER,2022
525,HWASEONG-SI,1,USER,2022
526,ICHEON-SI,1,USER,2022
527,ILIGAN CITY,1,USER,2022
528,INCHEON,1,USER,2022
529,INDORE,1,USER,2022
530,INGOLSTADT,1,USER,2022
531,INTERLAKEN,1,USER,2022
532,IRVINE,1,USER,2022
533,IZMIR,1,USER,2022
534,JAIPUR,1,USER,2022
535,JINJU-SI,1,USER,2022
536,JOAO PESSOA,1,USER,2022
537,JODHPUR,1,USER,2022
538,JUAREZ,1,USER,2022
539,KABANJAHE,1,USER,2022
540,KAMPALA,1,USER,2022
541,KARANG BARU,1,USER,2022
542,KATHMANDU,1,USER,2022
543,KATSUSHIKA CITY,1,USER,2022
544,KAWAGUCHI,1,USER,2022
545,KEPALA BATAS,1,USER,2022
546,KIGALI,1,USER,2022
547,KOCHI,1,USER,2022
548,KOFU,1,USER,2022
549,KOKUBUNJI,1,USER,2022
550,KOLAR GOLD FIELDS,1,USER,2022
551,KONAN,1,USER,2022
552,KOTA KINABALU,1,USER,2022
553,KRIMPEN AAN DEN IJSSEL,1,USER,2022
554,KUCHING,1,USER,2022
555,KULIM,1,USER,2022
556,KURASHIKI,1,USER,2022
557,KYIV,1,USER,2022
558,LAGOS,1,USER,2022
559,LAHORE,1,USER,2022
560,LAI CHAU,1,USER,2022
561,LANGSA,1,USER,2022
562,LEGAZPI CITY,1,USER,2022
563,LELYSTAD,1,USER,2022
564,LIVERPOOL,1,USER,2022
565,LOCHEM,1,USER,2022
566,LOJA,1,USER,2022
567,LONG XUYEN,1,USER,2022
568,LOWER HUTT,1,USER,2022
569,LUBUK PAKAM,1,USER,2022
570,LUCKNOW,1,USER,2022
571,LULEA,1,USER,2022
572,LULEBURGAZ,1,USER,2022
573,LUND,1,USER,2022
574,LUZHU DISTRICT,1,USER,2022
575,LYON,1,USER,2022
576,MADRID,1,USER,2022
577,MALABE,1,USER,2022
578,MANGALORE,1,USER,2022
579,MANGALURU,1,USER,2022
580,MANGGAR,1,USER,2022
581,MARACAY,1,USER,2022
582,MONTREAL,1,USER,2022
583,MORELIA,1,USER,2022
584,MUARA ENIM,1,USER,2022
585,MY THO,1,USER,2022
586,NARA,1,USER,2022
587,NAVI MUMBAI,1,USER,2022
588,NERIMA CITY,1,USER,2022
589,NETANYA,1,USER,2022
590,NEUCHATEL,1,USER,2022
591,NEW DELHI,1,USER,2022
592,NITRA,1,USER,2022
593,NIZHNY NOVGOROD,1,USER,2022
594,NORTH CREEK,1,USER,2022
595,NOTTINGHAM,1,USER,2022
596,NUR-SULTAN,1,USER,2022
597,OAKVILLE,1,USER,2022
598,ODESA,1,USER,2022
599,OGAKI,1,USER,2022
